# time(s) volume
163.4453 0.2570
163.6542 0.2559
163.8632 0.2072
164.0722 0.2182
164.2812 0.2107
164.4902 0.2232
164.6991 0.2105
164.9081 0.2133
165.1171 0.2113
165.3261 0.2195
165.5351 0.2156
165.7440 0.2165
165.9530 0.2798
166.1620 0.2444
166.3710 0.2641
166.5800 0.2556
166.7889 0.2522
166.9979 0.2401
167.2069 0.2505
167.4159 0.2404
167.6249 0.2839
167.8338 0.2423
168.0428 0.2250
168.2518 0.2533
168.4608 0.2421
168.6698 0.2280
168.8787 0.1981
169.0877 0.1765
169.2967 0.2400
169.5057 0.2661
169.7146 0.2215
169.9236 0.2403
170.1326 0.2845
170.3416 0.2741
170.5506 0.2770
170.7595 0.2496
170.9685 0.2616
171.1775 0.2418
171.3865 0.2750
171.5955 0.2754
171.8044 0.2665
172.0134 0.2761
172.2224 0.3479
172.4314 0.3482
172.6404 0.2728
172.8493 0.3670
173.0583 0.3395
173.2673 0.2201
173.4763 0.2948
173.7085 0.3367
173.9175 0.1419
174.1264 0.3359
174.3354 0.1741
174.5212 0.4098
174.7302 0.3259
174.9391 0.2670
175.1481 0.1771
175.3571 0.2917
175.5661 0.2514
175.7751 0.2879
175.9840 0.3374
176.1930 0.2727
176.4020 0.2889
176.6110 0.2582
176.8200 0.2593
177.0289 0.2654
177.2379 0.2501
177.4469 0.3089
177.6559 0.1484
177.8649 0.2616
178.0738 0.2783
178.2828 0.2937
178.4918 0.2691
178.7008 0.2845
178.9098 0.3268
179.1187 0.2167
179.3277 0.3097
179.5367 0.3171
179.7457 0.2937
179.9546 0.2795
180.1636 0.2145
180.3726 0.2788
180.5816 0.2142
180.7906 0.2278
180.9995 0.2074
181.2085 0.2450
181.4175 0.2133
181.6265 0.2645
181.8355 0.3055
182.0444 0.2189
182.2534 0.3071
182.4624 0.2885
182.6714 0.2795
182.8804 0.2701
183.0893 0.2454
183.2983 0.2758
183.5073 0.1835
183.7163 0.1990
183.9253 0.2306
184.1342 0.2556
184.3432 0.2332
184.5522 0.2630
184.7612 0.2102
184.9702 0.2253
185.1791 0.2598
185.3881 0.2790
185.5971 0.2410
185.8061 0.2799
186.0151 0.2631
186.2240 0.2329
186.4330 0.2772
186.6420 0.2012
186.8510 0.2801
187.0600 0.2457
187.2689 0.2690
187.4779 0.2605
187.6869 0.2933
187.8959 0.2855
188.1049 0.2631
188.3138 0.2776
188.5228 0.2772
188.7318 0.2880
188.9408 0.2649
189.1498 0.2197
189.3587 0.2417
189.5677 0.1527
189.7767 0.2571
189.9857 0.2341
190.1946 0.2923
190.4036 0.2570
190.6126 0.2885
190.8216 0.3256
191.0306 0.2214
191.2395 0.2425
191.4485 0.2466
191.6575 0.3061
191.8665 0.2842
192.0755 0.1973
192.2844 0.3396
192.4934 0.2366
192.7024 0.1805
192.9114 0.1957
193.1204 0.2490
193.3293 0.2290
193.5383 0.2672
193.7473 0.3278
193.9563 0.2710
194.1653 0.2993
194.3742 0.2645
194.5832 0.2617
194.7922 0.2493
195.0012 0.2626
195.2102 0.3439
195.4191 0.2238
195.6281 0.1669
195.8371 0.1859
196.0461 0.2443
196.2551 0.2392
196.4640 0.2644
196.6730 0.3279
196.8820 0.2287
197.0910 0.2894
197.2767 0.2764
197.4857 0.2433
197.6947 0.2151
197.9037 0.2654
198.1127 0.2763
198.3216 0.3180
198.5306 0.2770
198.7396 0.2144
198.9486 0.3199
199.1576 0.2794
199.3665 0.2677
199.5755 0.3003
199.7845 0.2529
199.9935 0.2746
200.2024 0.2719
200.4114 0.2658
200.6204 0.2813
200.8294 0.2746
201.0384 0.2487
201.2473 0.2282
201.4563 0.2132
201.6653 0.2582
201.8743 0.2880
202.0833 0.2796
202.2922 0.2600
202.5012 0.2438
202.7102 0.2399
202.9192 0.2189
203.1282 0.2828
203.3371 0.2420
203.5461 0.2659
203.7551 0.3023
203.9641 0.2275
204.1731 0.2921
204.3820 0.2375
204.5910 0.2551
204.8000 0.2281
205.0090 0.2624
205.2180 0.2709
205.4269 0.3086
205.6359 0.2627
205.8449 0.2489
206.0539 0.2903
206.2629 0.2697
206.4718 0.2927
206.6808 0.3106
206.8898 0.2800
207.0988 0.3562
207.3078 0.2626
207.5167 0.1900
207.7257 0.1789
207.9579 0.2800
208.1669 0.2722
208.3759 0.2951
208.5849 0.3292
208.7938 0.2666
209.0028 0.2614
209.2118 0.2164
209.4208 0.2789
209.6298 0.2902
209.8387 0.2616
210.0477 0.3141
210.2567 0.3111
210.4657 0.3258
210.6746 0.1918
210.8836 0.2744
211.0926 0.2548
211.3016 0.2798
211.5106 0.3413
211.7195 0.2819
211.9285 0.3119
212.1375 0.2717
212.3465 0.2701
212.5555 0.2550
212.7644 0.2968
212.9734 0.3271
213.1824 0.2277
213.3914 0.2211
213.6004 0.2530
213.8093 0.2387
214.0183 0.2146
214.2273 0.2227
214.4363 0.3011
214.6453 0.2357
214.8542 0.2780
215.0632 0.3217
215.2722 0.2552
215.4812 0.2645
215.6902 0.2396
215.8991 0.1908
216.1081 0.2036
216.3171 0.2277
216.5261 0.2561
216.7351 0.3282
216.9440 0.2888
217.1530 0.2625
217.3620 0.2889
217.5710 0.2110
217.7800 0.2617
217.9889 0.3037
218.1979 0.2647
218.4069 0.2965
218.6159 0.2446
218.8249 0.2317
219.0338 0.2144
219.2428 0.1721
219.4518 0.2228
219.6608 0.2967
219.8698 0.2736
220.0787 0.2837
220.2877 0.2898
220.4967 0.2948
220.7057 0.2811
220.9146 0.2852
221.1236 0.2618
221.3326 0.3422
221.5416 0.3217
221.7506 0.2503
221.9595 0.2187
222.1685 0.2245
222.3775 0.1947
222.5865 0.1379
222.7955 0.1544
223.0044 0.1801
223.2134 0.1933
223.4224 0.1970
223.6314 0.2465
223.8404 0.2143
224.0493 0.2104
224.2583 0.2147
224.4673 0.2085
224.6763 0.1930
224.8853 0.2269
225.0710 0.1728
225.2800 0.2001
225.4890 0.2081
225.6980 0.2017
225.9069 0.1881
226.1159 0.1681
226.3249 0.1837
226.5339 0.2083
226.7429 0.2391
226.9518 0.2281
227.1608 0.2381
227.3698 0.1962
227.5788 0.1540
227.7878 0.1572
227.9967 0.1487
228.2057 0.1411
228.4147 0.1236
228.6237 0.1816
228.8327 0.2257
229.0184 0.1960
229.2274 0.1909
229.4364 0.1841
229.6454 0.1227
229.8543 0.1848
230.0633 0.1856
230.2723 0.1708
230.4813 0.1742
230.6902 0.1607
230.8992 0.1742
231.1082 0.1164
231.3172 0.1290
231.5262 0.1939
231.7351 0.1744
231.9441 0.1756
232.1531 0.1771
232.3621 0.2062
232.5711 0.1424
232.7800 0.1588
232.9890 0.1420
233.1980 0.1543
233.4070 0.1651
