# time(s) volume
317.7186 0.1433
318.1134 0.2036
318.5313 0.2535
318.9261 0.2742
319.3440 0.2084
319.7388 0.2265
320.1335 0.2582
320.5283 0.3237
320.9230 0.2090
321.3177 0.2420
321.7125 0.2979
322.1072 0.2427
322.5020 0.1217
322.8967 0.1967
323.2914 0.2043
323.6862 0.3120
324.0809 0.1889
324.4756 0.2561
324.8704 0.2923
325.2651 0.2876
325.6599 0.1911
326.0546 0.2580
326.4493 0.2082
326.8441 0.2856
327.2388 0.1919
327.6103 0.2364
328.0051 0.2544
328.3998 0.2498
328.7946 0.1965
329.1893 0.2326
329.6073 0.2145
330.0252 0.3258
330.4200 0.1124
330.8147 0.2494
331.2094 0.2336
331.6042 0.3084
331.9989 0.1084
332.3937 0.2508
332.7884 0.1911
333.1831 0.2993
333.5779 0.1786
333.9726 0.2573
334.3673 0.1941
334.7621 0.3231
335.1568 0.1877
335.5516 0.2590
335.9463 0.2744
336.3410 0.2856
336.7358 0.1100
337.1305 0.2339
337.5253 0.2725
337.9200 0.3049
338.3147 0.1068
338.7095 0.2492
339.1042 0.1957
339.4990 0.3062
339.8937 0.2000
340.2884 0.2507
340.6832 0.2726
341.0779 0.3238
341.4727 0.1494
341.8674 0.2600
342.2621 0.2159
342.6801 0.3302
343.0748 0.2074
343.4696 0.2512
343.8643 0.2783
344.2590 0.2990
344.6538 0.1297
345.0485 0.2536
345.4433 0.1856
345.8380 0.3073
346.2327 0.1434
346.6275 0.2400
347.0222 0.2346
347.4170 0.2770
347.8117 0.1880
348.2064 0.2570
348.6012 0.1924
348.9959 0.2927
349.3907 0.1499
349.7854 0.2495
350.1801 0.2845
350.5749 0.3079
350.9696 0.1187
351.3644 0.2468
351.7591 0.1960
352.1538 0.3217
352.5486 0.2556
352.9433 0.2304
353.3380 0.1886
353.7328 0.1981
354.1275 0.2577
354.5223 0.1930
354.9170 0.2523
355.3117 0.2924
355.7065 0.1051
356.1012 0.2451
356.4960 0.2500
356.8907 0.3322
357.2854 0.1416
357.6802 0.2619
358.0749 0.1776
358.4697 0.3331
358.8644 0.1209
359.2591 0.2490
359.6539 0.2625
360.0486 0.2910
360.4434 0.1340
360.8381 0.2544
361.2328 0.2345
361.6276 0.3144
362.0223 0.1471
362.4171 0.2591
362.8350 0.2494
363.2298 0.2710
363.6245 0.1315
364.0192 0.2452
364.4140 0.2112
364.8087 0.2725
365.2034 0.1246
365.5982 0.2440
365.9929 0.2682
366.3877 0.3400
366.7824 0.1507
367.1771 0.2571
367.5719 0.2281
367.9666 0.2888
368.3614 0.1570
368.7561 0.2259
369.1508 0.2362
369.5456 0.2814
369.9403 0.1342
370.3351 0.2449
370.7298 0.2470
371.1245 0.2918
371.5193 0.1665
371.9140 0.2405
372.3088 0.2647
372.7035 0.3016
373.0982 0.2093
373.4930 0.2069
373.8877 0.2413
374.2824 0.2935
374.6772 0.1830
375.0719 0.2632
375.4667 0.2654
375.8614 0.2992
376.2561 0.1816
376.6741 0.2421
377.0688 0.2816
377.4636 0.2860
377.8583 0.1911
378.2531 0.2680
378.6478 0.2233
379.0425 0.2904
379.4373 0.1783
379.8320 0.2575
380.2035 0.2486
380.5983 0.3198
380.9930 0.1448
381.3878 0.2133
381.7825 0.2832
382.1772 0.3038
382.5720 0.1411
382.9667 0.2315
383.3615 0.2103
383.7794 0.3040
384.1741 0.1402
384.5689 0.2221
384.9636 0.2675
385.3584 0.3150
385.7531 0.1831
386.1478 0.2481
386.5426 0.2874
386.9373 0.3140
387.3321 0.1742
387.7268 0.2639
388.1215 0.2696
388.5163 0.3157
388.9110 0.1381
389.3058 0.2691
389.7005 0.2175
390.0952 0.3105
390.4900 0.2315
390.8847 0.2508
391.2795 0.2302
391.6742 0.3135
392.0689 0.2350
392.4637 0.2216
392.8584 0.2217
393.2532 0.3043
393.6479 0.1544
394.0426 0.2232
394.4374 0.2698
394.8321 0.3017
395.2268 0.1235
395.6216 0.2504
396.0163 0.1752
396.4343 0.2481
396.8290 0.1156
397.2238 0.2345
397.6185 0.1832
398.0132 0.2575
398.4080 0.1330
398.8027 0.2381
399.1975 0.1918
399.5922 0.2634
399.9869 0.1559
400.3817 0.2527
400.7764 0.2511
401.1712 0.2867
401.5659 0.1623
401.9606 0.2513
402.3554 0.2161
402.7501 0.2883
403.1449 0.1372
403.5396 0.2287
403.9343 0.2121
404.3291 0.2830
404.7238 0.1625
405.1185 0.2426
405.5133 0.1836
405.9080 0.3106
406.3028 0.0915
406.6975 0.2285
407.0922 0.2730
407.4870 0.2728
407.8817 0.1227
408.2765 0.2263
408.6712 0.1814
409.0659 0.3031
409.4607 0.0974
409.8554 0.2275
410.2502 0.2081
410.6449 0.2866
411.0396 0.1621
411.4344 0.2392
411.8291 0.2488
412.2239 0.2893
412.6186 0.1293
413.0133 0.2429
413.4081 0.2409
413.8028 0.3067
414.1976 0.1094
414.5923 0.2260
415.0102 0.1588
415.4050 0.2383
415.7997 0.0923
416.1945 0.2037
416.5660 0.2570
416.9607 0.3066
417.3555 0.1674
417.7502 0.2626
418.1449 0.2054
418.5397 0.3076
418.9344 0.0945
419.3292 0.2191
419.7239 0.2646
420.1419 0.2898
420.5366 0.1533
420.9313 0.2248
421.3261 0.2021
421.7208 0.2808
422.1156 0.1165
422.5103 0.2197
422.9050 0.2514
423.2998 0.2808
423.6945 0.1849
424.0893 0.2296
424.4840 0.2352
424.8787 0.2674
425.2735 0.1207
425.6682 0.2170
426.0629 0.2417
426.4577 0.3015
426.8524 0.1240
427.2472 0.2238
427.6419 0.1823
428.0366 0.2889
428.4314 0.1093
428.8261 0.2220
429.2209 0.2236
429.6156 0.3126
430.0103 0.1175
430.4051 0.2068
430.7998 0.2317
431.1946 0.2766
431.5893 0.1602
431.9840 0.2509
432.3788 0.2963
432.7735 0.3218
433.1683 0.1543
433.5630 0.2436
433.9577 0.1912
434.3525 0.3076
434.7472 0.1209
435.1420 0.2120
435.5367 0.2115
435.9314 0.2997
436.3262 0.1213
436.7209 0.2538
437.1156 0.2038
437.5104 0.3088
437.9051 0.1322
438.2999 0.2416
438.7178 0.2456
439.1126 0.2932
439.5073 0.0859
439.9020 0.2141
440.2968 0.1868
440.6915 0.2987
441.0863 0.1301
441.4810 0.2200
441.8757 0.2578
442.2705 0.3058
442.6652 0.1716
443.0600 0.2801
443.4547 0.1869
443.8494 0.3007
444.2442 0.1479
444.6389 0.2249
445.0337 0.2559
445.4284 0.2951
445.8231 0.1604
446.2179 0.2181
446.6126 0.2142
447.0073 0.2845
447.4021 0.1216
447.7968 0.2319
448.1916 0.2652
448.5863 0.3255
448.9810 0.2529
449.3990 0.2165
449.7937 0.2119
450.1885 0.2613
450.5832 0.1473
450.9780 0.2270
451.3727 0.2811
451.7674 0.3149
452.1622 0.2346
452.5569 0.2281
452.9517 0.1765
453.3464 0.1901
